,BAC,C,JPM,WFC,UBSG.VX,RY,AXP,USB,DBK,TD,BNS,BK,FNMAN,CM,STT,FMCC,PNC,COF,STI,BBT,RF,NTRS,SLM,AMP,GS,MS,BEN,SCHW,CME,BLK,NYX,TROW,AMTD,LM,AB,NDAQ,IVZ,SEIC,ETFC,ETW,JNS,FII,RJF,AMG,MORN,LAZ,WDR,AIG,UNH,MFC,MET,PRU,TRV,ALL,AFL,SLF,AET,HIG ,CB,MMC,PGR,LNC,PFG,AON,CI,GNW,HUM,XL,CNA,UNM,CVH
2006/2/1 08:00,0.226892304,-0.025223706,0.307982308,0.196181455,0.020656863,0.700912376,0.252985021,0.352022876,0.438143691,0.845121858,0.911693694,1.001214228,0.070404066,0.014453985,0.303722164,0.028758894,0.917809237,0.396537647,0.009986692,0.136626824,0.359862933,0.032675428,0.148087647,0.9440743,-0.091399262,-0.253240704,0.396253215,0.989026406,0.105235773,0.625687808,1.154807605,0.0352518,0.773955223,0.112188746,0.583441332,-0.49265053,0.259359285,0.046897867,0.268372748,0.025683666,0.258051485,0.056784458,0.048567974,0.400174195,1.097774333,0.675270266,0.397744511,-0.023434212,-0.390985498,0.410804354,-0.007613484,0.150097213,-1.18042183,0.521053683,-0.194680102,0.234281957,-5.907796336,-0.070581177,0.176696171,0.138942405,0.117798041,0.168610241,0.113954323,2.350918567,-0.035946889,-0.06679377,-0.84198336,-0.088161685,-0.298823647,0.168763504,0.078976116
2006/3/1 08:00,-0.076314507,0.063494801,0.065853712,-0.100128318,0.381983302,0.132055905,-0.34350246,-0.28765795,0.252652596,-0.301115518,-0.639081136,0.680147481,-0.100519423,0.644837189,-0.450562998,-0.301669909,-0.603884142,-0.864607654,-0.05997699,-0.111376071,0.137187649,-0.202918472,-0.367030749,-0.245243654,1.2746268,0.488503887,-0.630128019,0.61262202,0.362130113,-0.29653266,1.81071918,0.168218443,-0.555392301,-0.394428361,0.318913295,-0.258348217,-0.227439137,-0.390921515,0.189882099,0.030389556,0.344953498,0.019828985,-4.087872438,0.796240986,0.46463131,1.418281138,-0.094345037,-0.094740128,-0.726993533,-0.070692305,-0.342308626,-0.152561263,-0.68071398,-0.59061951,-0.336569171,-0.440538651,-0.142652879,-0.274228395,-1.614238422,-1.154756923,-0.260748952,-0.678083959,-0.095509038,0.654752779,0.309304761,0.352432799,0.074667636,-0.543527712,0.224821904,-0.133119937,-0.407550896
2006/4/1 08:00,1.036163998,0.209428445,1.358693021,0.606713477,0.48074975,-7.195733016,0.321051421,0.401923432,0.37214524,0.057477126,0.571955317,-0.451498728,-0.100785283,0.034168636,0.980231207,0.063373638,0.745987209,0.692148914,0.566168924,1.305736516,0.582874427,2.036213029,0.20459788,0.921715913,0.139336301,0.233900249,-0.035404425,0.380406434,0.20635484,0.879502524,-1.029356197,0.703404293,-1.516507086,-0.631747448,-0.298875152,-0.923395357,1.973837405,0.498923063,-0.362422962,0.049926424,-1.634805507,-1.769807228,0.130544599,-0.7736943,-0.764508685,-0.016259702,0.151354329,-0.161458165,-1.826044977,0.355496941,0.716726531,0.263861149,0.847673336,0.851131773,0.589518282,-0.309098165,-0.935149208,1.07995519,1.018568061,0.640210105,0.249482148,0.545825006,0.300033726,0.01795226,-1.41458122,0.047198997,-1.585276935,0.159723256,0.008342192,-0.123346199,-0.328505676
2006/5/1 08:00,-0.348166597,-0.058572838,-0.937188537,-0.378725772,-1.520897496,-0.428192319,0.13734148,-0.445998238,-0.785528095,-0.292390336,-0.578647792,-0.970421816,0.083369407,-0.129361278,-0.702194208,-0.005053755,-0.599706516,-0.523673873,-0.411525888,-0.429781157,-1.125223316,-0.860203814,0.196482764,-1.084325899,-0.942119907,-0.789366702,-0.217530083,-1.000647385,-0.140261565,-1.714665687,-0.603359933,-0.616302451,-1.130847884,-2.708525004,0.168243422,-2.570811598,-1.178890038,0.478251885,-0.131410803,-0.546847245,-0.621252318,-1.150280499,-0.269840903,-1.568413415,-0.23300096,-1.233744431,-0.525621739,-0.543129529,-1.534746319,0.157384953,-0.117482173,-0.28554179,-0.150622351,-0.334765166,-0.297457152,-0.46107883,-0.072785688,-0.48720751,-1.406562753,-1.918689177,-10.30062585,-0.563952507,0.456755066,-2.918005833,-1.049476716,0.171818326,0.995258662,-0.61546973,0.068966895,-1.740884049,0.319387268
2006/6/1 08:00,-0.10429131,-0.091349914,-0.296027393,0.042879796,-0.511361864,-0.092102381,-0.460826929,-0.115112286,-0.091451181,-0.670813351,-0.212053971,-0.548395625,0.014813053,-1.625849363,-0.949116938,-0.156457868,0.20704636,0.329449695,-0.06099482,0.002022145,-0.238244863,-0.281304357,0.012981971,-0.458002006,-0.159166108,0.616474103,-0.224412766,-0.61175803,0.685874191,0.291144424,0.974020769,-7.280518655,-1.732421774,0.317182067,-0.841380387,-0.292262263,-0.592894909,0.669875998,-0.283726137,0.58735242,-0.134613808,-0.267950032,0.205169982,-0.408801433,-0.370086769,0.132867927,-0.771525558,-0.346882978,0.062521758,-5.443065374,-0.048941898,0.200855656,0.094375685,-0.097418374,-0.242683928,-0.758325439,0.108736353,-0.515086605,-0.516374801,-0.812996424,-0.513427291,-0.115152286,0.035807292,-0.550615162,0.30385981,0.449306078,0.4634991,-0.566908723,0.045884498,0.091972696,0.316731555
2006/7/1 08:00,1.044991157,-0.002919274,1.189790243,0.6874921,-0.018054565,0.037048477,-0.503182219,0.650117712,0.369426105,0.122427485,0.21688715,0.607734842,0.158315001,0.253458924,0.382641122,0.13817467,0.08181412,-1.369259572,0.357909176,0.148537089,1.430274932,0.413117256,-0.186363227,-0.240660879,0.097473273,0.546349643,0.477577023,-0.178794676,-0.287170611,-1.007514386,-0.706919581,0.757232646,1.105836025,-1.520899231,0.787909888,-0.93110143,0.548071989,-0.089276187,0.05884365,0.204605364,-0.954604548,-0.25488336,-0.379174202,0.432857309,-1.480649099,-0.416211995,0.519252059,0.042095907,0.617221437,0.040910961,0.148409812,0.118726504,0.36777296,0.377043885,-0.958079279,-0.883294264,-1.835421069,-0.13356004,0.188020086,-0.06376964,-0.514866032,-0.142311455,-0.50647295,-0.440215319,-0.616322083,-0.011960128,0.287723184,0.402060765,0.369220447,-1.404438795,-0.126386846
2006/8/1 08:00,-0.041606204,0.075073769,-0.08899795,-7.503612086,1.296419323,0.949794102,0.148946956,-0.0895913,-0.113904285,1.297233818,1.064858772,-0.005013992,0.173821547,0.906726638,0.353821877,0.523148462,-0.122069438,-0.667940836,-0.773952444,0.333277263,-0.068332603,-0.499969437,-0.101279568,0.160428118,-0.581418056,-0.113166971,0.647092328,0.240663029,-0.196133175,-0.033831913,-0.412462453,0.554591012,0.714863721,0.707676747,0.335381959,0.202643057,0.650353887,0.363386305,0.020344055,1.807869647,0.671112063,1.139603511,-0.471548878,-0.039466842,0.006526631,-0.457029202,0.587998053,0.288842694,0.881055487,0.269887462,0.549683908,-0.899809772,-0.95320503,0.177371761,0.246933625,1.038826685,0.846033787,-0.043492622,0.747305534,-0.759420618,0.080729097,0.772052302,-0.341546495,0.023091776,1.353013625,0.168655294,0.725086447,0.319092207,0.23354959,1.707362162,0.212720204
2006/9/1 08:00,0.622224044,0.017392307,0.339433654,0.206423788,2.021343867,0.028460394,1.4410212,0.724016661,0.909243831,0.255129258,0.072504301,0.649148328,0.028219684,0.609465872,0.088558256,0.277295142,0.429106086,0.818921461,-0.001972304,0.427047665,0.348805729,0.680359757,0.493593541,0.186623419,1.913771185,1.184654746,0.634872758,1.120119975,0.547510377,1.615867001,2.735532938,0.719616939,0.793236418,0.859908032,0.4566828,0.520060022,0.520796112,0.907347761,0.02850939,0.523828578,0.779115064,0.100907176,0.473060397,1.104364438,-0.666906288,0.622083774,0.581962317,0.184484719,-0.853091956,-0.022499591,0.287190233,0.426845608,1.108538152,0.850095629,0.170620896,-0.181688517,0.265329538,-0.070948045,0.164763454,1.208264475,-0.064242757,0.093392951,0.059666073,-0.499291854,0.091531696,0.301601505,0.684017841,0.667347776,0.60565932,0.199516342,-0.173170248
2006/10/1 08:00,0.061115441,0.030461974,0.047793187,-0.019606907,-0.119693391,0.001454826,0.493774628,0.307984153,0.507960438,-0.193723971,0.327899042,-0.48340278,0.185303244,0.427500749,0.433404626,0.27234743,-0.992087256,0.056682116,0.204950626,-0.127602023,0.541321927,-0.052478239,-0.270789608,1.599664125,1.134179406,0.503188639,0.656577752,0.11483935,0.336718073,0.019138517,-0.052440791,-0.108390835,-1.680139767,-0.922693379,1.613005939,1.753891118,0.542821398,-0.069693861,-0.142448378,0.31138442,0.053618405,0.180844753,0.847097482,-0.171226209,1.405265244,0.617082001,0.262995525,-0.113753579,-0.273618464,0.099218692,0.077032785,0.083918453,1.50247863,-0.289710746,-0.488307241,0.240662969,0.197286267,-0.155020763,0.838823996,0.645639289,-0.171332115,0.075047102,0.34250574,0.314788962,-0.063820016,-0.3123746,-1.050629841,0.313539697,0.631948744,0.194238017,-0.371675364
2006/11/1 08:00,-0.041824854,-0.052302913,-0.628725894,-0.22866586,-0.771595694,0.575017929,0.253547743,-0.32032829,-0.081689751,0.145809048,0.629081003,0.47038296,0.135536168,0.163772315,-0.671223795,-0.057385187,0.102849659,-0.305296498,0.463721457,-0.263820048,-0.541076332,-0.815370028,-0.23962284,0.450136462,0.174509003,-0.034270772,-0.461105103,-0.018653574,0.451547387,-0.755009721,2.510775894,-0.798236092,0.673329763,0.545305188,-0.161500587,1.112547469,-0.98781456,0.26140942,0.110044699,0.418186408,-0.027154642,-0.611828373,-0.171727687,0.097030888,1.12999765,0.742604759,-0.230236689,0.372937273,-0.089294751,0.212754068,0.269308267,0.72268281,0.10528737,0.342118378,-0.482401682,0.148736626,-0.158701071,-0.473802421,-0.34378815,1.060798096,-0.61782949,-0.141996108,0.104601306,0.288597895,0.413721662,-0.050490649,-1.119053334,-0.06923009,0.400339244,0.390416287,0.19266702
2006/12/1 08:00,-0.208325006,0.445280188,0.649895408,0.018963972,0.769094304,0.244016678,0.634568375,1.875339651,0.651338514,0.246386931,-0.293170439,1.592942642,-0.10976858,1.208583317,1.411287085,0.13910826,1.083978923,-0.266123826,0.492346367,0.477371365,0.354792445,1.180422975,0.455534097,-0.12958221,0.179678621,0.771605417,0.311624721,0.592886197,-0.208524835,0.599251854,-0.124714439,0.084194456,-1.030805347,0.019203654,0.614030923,-2.911983946,1.656657785,0.15676143,-0.326920777,0.634965067,0.523976439,0.261729664,-0.509122756,0.280132488,-0.057311991,0.425795886,0.857432478,-0.050629626,1.305490605,0.20738128,0.046492618,0.635583192,0.532637467,0.245640317,0.748837718,-0.387652448,0.34766728,0.985375079,1.289135554,-0.624718186,0.543973324,0.4123771,0.024993067,-0.31309522,0.194727415,0.573364605,0.108303041,0.037544639,0.827728511,0.168032155,0.260746037
2007/1/1 08:00,-0.351734105,-0.047914964,0.811535635,0.026643377,1.560041579,-0.30517189,-0.903039077,-0.464098515,0.878511309,-0.080476165,-0.714998055,0.160135337,0.190447497,0.234679287,0.72345745,-0.15593704,-0.207171828,0.698370618,-0.628142507,-0.917340972,-0.503778072,-0.128603353,-0.235318651,1.170466705,0.777655653,0.191525945,0.679646425,-0.392646905,0.637616832,1.183158583,0.177408583,0.836066485,0.979761984,1.187382517,1.42416079,0.748024906,-0.200850931,0.382709696,0.322256618,-0.004681909,-0.659467099,0.748734269,0.575182076,0.800263902,0.098849499,0.773388947,-0.617784121,-1.221020699,-0.599130837,0.046684726,0.50220156,0.442201888,-1.181847285,-0.939749289,0.581199565,0.08130959,-0.611044051,0.018579474,-1.149608768,-0.930532427,-0.418514717,-0.043024119,0.516079106,0.104969476,-0.060730515,0.332425459,-0.074668514,-1.500242835,-0.011782087,0.770430742,0.214585976
2007/2/1 08:00,-0.728352906,-0.360351481,-0.636566899,-0.287777749,-1.784662967,0.055190778,-0.495401436,-0.097942163,-0.999759341,0.106001445,0.106134464,0.171196762,0.117402103,0.026972697,-1.305830457,0.017497293,-0.302547291,-0.77045851,0.065087377,0.092421729,-0.177340949,-0.316200139,-0.323080631,-0.35796826,-0.840010055,-1.168697059,-0.062204009,-0.416047897,-0.1759337,-0.782288473,-1.511183052,-0.286306929,-1.256653644,-0.159696397,-0.514677741,-1.206723829,-0.354906522,-0.403523184,-0.258324628,-0.217817766,0.242680916,0.177750241,-0.814702441,0.077760769,1.601559631,0.096888407,-0.510904414,-0.614707498,-0.21867745,0.033999804,0.16262553,0.231270931,-0.183930987,-0.051189135,-0.280546693,0.002042418,0.474133716,-0.257170481,-0.727290659,-0.23050379,-0.145087418,0.025692115,-0.403035093,0.691377925,0.414194618,0.260128011,0.641933644,0.376384113,0.030324073,-0.394457698,0.327454392
2007/3/1 08:00,0.034249124,0.066734909,-0.475329184,-0.101858748,-0.012115113,0.827371746,-0.213367167,-0.621645747,0.254539414,0.138250294,1.13379754,-0.10564725,0.146924863,0.135830077,-0.20912299,-0.329999597,-0.647810123,-0.392650188,-0.639057162,-0.816197341,-0.199260257,-0.22686164,-0.135983709,-0.65685155,0.208559894,0.544948865,0.29532539,-0.242840956,0.001222387,-0.373037575,0.706832481,0.118200255,-0.921186405,-1.001498057,0.368531956,-0.247835808,-1.179096969,-0.127145004,-0.385772262,-0.691927556,-0.283164138,0.427996512,-0.211166529,-1.052074424,-0.025206942,-0.363045995,-0.428700991,-0.306930856,0.05091206,0.256667932,-0.001490697,-0.127935556,0.232763512,-0.051355849,-0.209896905,0.845422787,-0.450055871,-0.066441533,0.16349946,-0.284710993,-0.489295811,-0.299002901,-0.473444753,-0.001307231,-0.098363062,0.031369123,-0.423686294,-0.610469978,0.952148418,1.05069509,0.271516534
2007/4/1 08:00,-0.084365335,0.16208859,1.18105428,0.265503867,2.174270715,0.496600396,1.557030522,-0.596000217,1.517726709,0.145467802,0.784145228,-0.103138422,0.006184915,0.347614247,0.861471377,0.561225078,0.669879276,-0.338739229,0.11497435,0.323621806,-0.116572814,0.881821408,1.668023942,0.416240952,0.730485154,0.718215061,0.717571059,0.485150468,-0.097214324,-0.740694452,-0.891800671,0.479749259,1.53651413,0.674251238,0.3505755,0.808342186,0.77537525,0.052141502,0.138126985,0.474804018,1.804907192,0.657560401,0.351341587,0.932776598,-0.022173009,0.887725975,0.339213459,0.285004459,-0.201462673,0.417344356,0.388800217,0.681304797,0.692539344,0.381520677,1.846156676,0.648559722,0.883468062,0.615767163,0.733646549,1.625444254,0.439612409,0.470552891,0.666155032,0.209419438,0.514937826,0.587767868,0.73931053,2.358059983,1.583862211,1.049638627,0.168790915
2007/5/1 08:00,-0.116292837,0.055168317,-0.185640336,-0.004827684,0.131180435,0.552189523,1.085768766,0.013856232,0.048216264,1.302795749,0.793873681,-0.041713947,-0.013534507,1.697618661,-0.188811716,0.253114642,-0.251380119,1.231080445,1.093224165,0.269811253,0.340512271,0.570465713,0.349307022,0.731161801,0.67901572,0.138957417,0.394692578,2.040263994,0.224609172,0.207297031,-0.134344618,0.308931073,2.07822813,0.296608989,0.07711228,0.095957547,0.08204071,0.026216422,0.314470811,0.068758631,0.703363907,0.314010246,1.112205813,1.068589457,-1.532239695,-0.123154038,0.629203603,0.215002235,0.404001093,0.322853867,0.33845962,0.925887083,-0.121819431,-0.194430497,0.364999388,-0.220517403,1.700687459,0.052638185,0.592966818,0.4767779,-0.062311131,0.058107956,-0.844760335,1.628956611,0.430256756,0.033959898,-0.296245094,0.485037333,1.352931465,0.83148968,0.221936625
