,BAC,C,JPM,WFC,UBSG.VX,RY,AXP,USB,DBK,TD,BNS,BK,FNMAN,CM,STT,FMCC,PNC,COF,STI,BBT,RF,NTRS,SLM,AMP,GS,MS,BEN,SCHW,CME,BLK,NYX,TROW,AMTD,LM,AB,NDAQ,IVZ,SEIC,ETFC,ETW,JNS,FII,RJF,AMG,MORN,LAZ,WDR,AIG,UNH,MFC,MET,PRU,TRV,ALL,AFL,SLF,AET,HIG ,CB,MMC,PGR,LNC,PFG,AON,CI,GNW,HUM,XL,CNA,UNM,CVH
2006/2/1 00:00,0.035971863,-0.004518501,0.034371019,0.029079104,0.002155948,0.064618456,0.026899016,0.032886884,0.042257551,0.077810986,0.065253963,0.073613846,0.003905407,0.003282712,0.032864533,-0.00695015,0.081251639,0.05033239,0.012794028,0.012473065,0.047095195,0.009720881,0.008009315,0.111290331,0.000283096,-0.029562073,0.041560809,0.091676997,0.005536931,0.067686818,0.12329892,0.004568887,0.070572605,0.006838545,0.061441792,-0.033975654,0.032527421,0.013005988,0.072545511,0,0.048585035,0.007225786,0.009820071,0.058898964,0.101121122,0.07051613,0.044334667,0.013655196,-0.020230151,0.047891256,-0.000797786,0.022313631,-0.05433661,0.05112037,-0.015021763,0.030965063,-0.640821393,0.001822417,0.017741233,0.016966182,0.022684356,0.040257027,0.032543568,0.146271339,0.009412846,-0.029113175,-0.076358787,-0.001627114,-0.02238664,0.017552912,0.000838997
2006/3/1 00:00,-0.006784072,0.018376521,0.01208036,-0.005153412,0.027612374,0.01073102,-0.024994292,-0.013353073,0.019628448,-0.030760742,-0.044105138,0.051234909,-0.04835717,0.048532263,-0.033360835,-0.09962276,-0.044173971,-0.084275412,0.005374491,-0.00838308,0.011150909,-0.00418174,-0.082557275,-0.009277712,0.105176574,0.051611715,-0.085772576,0.059862278,0.050176567,-0.014888655,0.208892273,0.018453327,-0.03992068,-0.041112339,0.030342552,-0.011669828,-0.010548516,-0.030614684,0.053284978,0,0.055002776,0.004105728,-0.374312713,0.07983169,0.048980018,0.139716746,-0.008191509,-0.004076955,-0.041552107,-0.018467876,-0.035540344,-0.016094597,-0.028077791,-0.049968257,-0.024514228,-0.024600869,-0.037152286,-0.022464506,-0.069082632,-0.051446518,-0.030137797,-0.039157301,0.001640648,0.046852677,0.062142568,0.049358678,0.018788973,-0.052267735,0.029320137,-0.01020174,-0.099377481
2006/4/1 00:00,0.091830601,0.055993262,0.086010282,0.072753905,0.026190332,-0.676446828,0.023694264,0.030354316,0.029202755,0.003226387,0.039565577,-0.025004842,-0.048426642,0.00446946,0.077812598,0.00098314,0.059969011,0.073256028,0.060915623,0.091126997,0.037392751,0.11485811,0.0179358,0.084641355,0.020993591,0.023286184,-0.011955725,0.039310161,0.023192629,0.079207148,-0.176910356,0.073678669,-0.117304096,-0.056206079,-0.027545782,-0.067673712,0.14807255,0.057761353,-0.081031506,0.00055142,-0.174497313,-0.106641777,0.026374455,-0.051090884,-0.051093439,0.003384143,0.018018506,-0.012791433,-0.1160391,0.039361648,0.074285144,0.030143884,0.052214097,0.080706779,0.052024247,-0.011817674,-0.244015105,0.132149271,0.065667531,0.04365174,0.040138825,0.061970689,0.050155392,0.009590148,-0.199463496,-0.006903794,-0.153011766,0.027386296,0.009377968,-0.008335474,-0.083212478
2006/5/1 00:00,-0.030921829,-0.013098424,-0.062278745,-0.034358465,-0.064629228,-0.04167766,0.010169266,-0.018296128,-0.078066699,-0.029972291,-0.036828892,-0.056171506,0.007841362,-0.005963721,-0.050552311,-0.01684598,-0.036476432,-0.04569595,-0.021171766,-0.032425016,-0.075647201,-0.051749218,0.016504503,-0.069007457,-0.060035995,-0.075568606,-0.034635045,-0.071790076,-0.037144225,-0.12300977,-0.104691396,-0.062363324,-0.087795329,-0.211125436,0.012796012,-0.206447702,-0.112140645,0.055488025,-0.024823288,-0.019482832,-0.077433866,-0.088722216,-0.034867797,-0.116057047,-0.008261631,-0.112392232,-0.054161663,-0.070636256,-0.123529372,0.012329816,-0.012165777,-0.025668962,-0.000227121,-0.026548716,-0.015688301,-0.01847683,-0.001039527,-0.044372631,-0.070292669,-0.090009577,-1.378310094,-0.033260583,0.063063567,-0.161775259,-0.143028971,0.00869704,0.113889795,-0.040417362,0.013597335,-0.122966319,0.050638762
2006/6/1 00:00,-0.00621772,-0.021528253,-0.015123138,0.010640774,-0.027963559,-0.01026648,-0.021194323,0.000323822,-0.014944641,-0.065928632,-0.012500163,-0.03148666,-0.013103201,-0.091619266,-0.066752425,-0.051784367,0.018119477,0.031865734,0.007238342,0.000481,-0.021801641,-0.011149172,-0.015748171,-0.024326764,-0.003450823,0.058471429,-0.035532161,-0.041672696,0.107024674,0.037856393,0.135536071,-0.738139205,-0.137910716,0.03673984,-0.065519395,-0.017899085,-0.05574519,0.074076541,-0.061603675,0.01727538,-0.006126446,-0.019491312,0.032228402,-0.037386454,-0.016971819,0.017982552,-0.080342068,-0.029205246,0.018481482,-0.732646268,-0.005064327,0.020150113,0.012641297,-0.005102945,-0.009661933,-0.033492443,0.037509207,-0.038720544,-0.023056903,-0.041520968,-0.061836546,0.004617288,0.018132862,-0.023557269,0.060358145,0.039519205,0.058868714,-0.031789481,0.01159601,0.009420962,0.05020179
2006/7/1 00:00,0.068882007,0.001242751,0.082676577,0.075491204,-0.000746547,0.0017184,-0.022037366,0.03562721,0.025042669,0.009409989,0.013741603,0.042857219,0.030698963,0.019621401,0.033350547,0.014799661,0.009502916,-0.099590823,0.033652385,0.009571789,0.091404949,0.03220636,-0.050776003,-0.001568276,0.015304785,0.050739447,0.052070575,-0.006277485,-0.06291785,-0.074644216,-0.096347517,0.088530981,0.100758389,-0.175871301,0.06122097,-0.078232752,0.05931946,-0.000409249,0.021245152,0.004960109,-0.100406883,-0.015677813,-0.040794499,0.052242365,-0.091052168,-0.033986984,0.057185483,0.027064815,0.065891511,-0.002836881,0.015308913,0.012025244,0.026998696,0.037476371,-0.048854871,-0.042200381,-0.237457886,0.00283284,0.018410215,0.005192964,-0.060940616,0.004243306,-0.030098067,-0.017089482,-0.076555075,-0.015620827,0.040687889,0.038404752,0.029594209,-0.110706588,-0.041626225
2006/8/1 00:00,-0.00116501,0.021299187,0.000876446,-0.733197599,0.039536628,0.085743257,0.009177885,0.002185111,-0.016027343,0.121137801,0.061354154,0.004156775,0.035412016,0.05954991,0.028559269,0.094587122,-0.000705995,-0.056512212,-0.031818243,0.019106537,-0.008301071,-0.019806111,-0.035823254,0.025020723,-0.027208089,-0.010734081,0.073350039,0.0267179,-0.047057038,0.007635608,-0.047584909,0.064447738,0.067282068,0.0892253,0.025817638,0.030629175,0.06224221,0.043650572,0.011940397,0.049862912,0.093680457,0.076638513,-0.047208485,0.010647602,0.010245696,-0.036509843,0.064481058,0.050617277,0.082628637,0.03015935,0.056634754,-0.068820243,-0.042369704,0.019519599,0.020850459,0.073753381,0.168518678,0.011950992,0.044223963,-0.032715871,0.01640049,0.0685223,-0.014174015,0.009883801,0.21440409,0.003782952,0.085624755,0.030000673,0.020985819,0.154942603,0.028803188
2006/9/1 00:00,0.039990077,0.006463383,0.028073513,0.040326908,0.071335185,0.000900113,0.065204475,0.035231121,0.065463495,0.022054078,0.005121101,0.043768758,-0.009019159,0.041124703,0.009661959,0.042028875,0.023040899,0.073306478,0.011452455,0.02263899,0.021984919,0.042656317,0.068677235,0.02526318,0.129309606,0.102757992,0.071935393,0.093580861,0.083358898,0.135258721,0.231539906,0.082518712,0.073169828,0.100020829,0.03375663,0.058910648,0.048607747,0.096129129,0.013892036,0.019679506,0.103559012,0.009808401,0.053383497,0.078736686,-0.036193306,0.060046322,0.063811556,0.03751973,-0.054388093,-0.012016906,0.029542942,0.037957195,0.065890046,0.079431827,0.015193467,-0.003402993,0.059376955,0.010312344,0.016023899,0.073315828,-0.002035376,0.022480194,0.019345785,-0.020456617,0.028337988,0.0167054,0.081291725,0.045563905,0.038199638,0.022953433,-0.051448562
2006/10/1 00:00,0.005584508,0.009816747,0.010169579,0.003035769,-0.006706933,-0.00157569,0.03038251,0.0184914,0.035511698,-0.020672112,0.019315386,-0.025565144,0.038872188,0.028391021,0.028905131,0.039319224,-0.033834953,0.008481575,0.02188606,-0.005956467,0.031043434,0.004950945,-0.065591131,0.09356409,0.115014046,0.047149431,0.074769718,0.017160621,0.046472446,0.01227334,-0.009408672,-0.011349365,-0.13497243,-0.113701592,0.118893681,0.166825121,0.04722481,0.001600427,-0.027120263,0.010204221,0.018090996,0.014097149,0.085813701,0.000299605,0.103407287,0.05876908,0.029852963,0.013640367,-0.008573272,0.00525591,0.007907975,0.008878502,0.086567017,-0.022081629,-0.018527218,0.023581435,0.041357931,0.004829793,0.045015637,0.044806973,-0.015192285,0.019619402,0.03990785,0.026800381,0.005657898,-0.04588092,-0.096672827,0.026572565,0.038932397,0.019913959,-0.092886876
2006/11/1 00:00,-0.000371352,-0.011428716,-0.024755853,-0.029360391,-0.030750629,0.050515791,0.015618613,-0.005927729,-0.013271758,0.011669962,0.035130584,0.033474789,0.023682441,0.011616956,-0.032597902,-0.026883646,0.009380441,-0.018447251,0.033120607,-0.011788002,-0.034856047,-0.030431152,-0.0601112,0.049252341,0.026055246,-0.003538846,-0.065451518,0.00656463,0.066781569,-0.050790979,0.301429146,-0.087876429,0.064083048,0.057627379,-0.015695232,0.116631818,-0.060543079,0.033374287,0.033371586,0.012610507,0.008924204,-0.032906511,-0.01104638,0.019481476,0.090589225,0.068804083,-0.022606555,0.045829533,0.006131288,0.021053379,0.027621279,0.057461711,0.013211771,0.033966722,-0.017516707,0.017211318,0.002181026,-0.016307491,-0.007187339,0.065090305,-0.069377173,0.004412915,0.022059683,0.02526029,0.0746757,-0.019324273,-0.103510413,0.008046913,0.027651505,0.034777423,0.024822478
